# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
1.5990999999996411e+03 -1.9884831885369287e+01 +0.0000000000000000e+00 +1.5989743312469354e+03 -2.4816496432965014e-20 +1.7147052790781548e-04 +1.0713436148097468e-18
1.5991999999996410e+03 -1.9886113686004183e+01 +0.0000000000000000e+00 +1.5990743230315336e+03 -2.3768757959721187e-20 +1.7144409900099553e-04 +1.0303068771167079e-18
1.5992999999996409e+03 -1.9887395486467767e+01 +0.0000000000000000e+00 +1.5991743148161340e+03 -2.1271635489977949e-20 +1.7141769126248027e-04 +9.2206384405881687e-19
1.5993999999996408e+03 -1.9888677286760068e+01 +0.0000000000000000e+00 +1.5992743066007365e+03 -1.8757466066376433e-20 +1.7139128351650461e-04 +8.1308187488050059e-19
1.5994999999996407e+03 -1.9889959086881110e+01 +0.0000000000000000e+00 +1.5993742983853413e+03 -1.6226249692328157e-20 +1.7136487576306848e-04 +7.0336096972963889e-19
1.5995999999996407e+03 -1.9891240886830918e+01 +0.0000000000000000e+00 +1.5994742901699483e+03 -1.3677986371249811e-20 +1.7133846800217189e-04 +5.9290112875433529e-19
1.5996999999996406e+03 -1.9892522686609521e+01 +0.0000000000000000e+00 +1.5995742819545574e+03 -1.1112676106563467e-20 +1.7131206023381489e-04 +4.8170235210292685e-19
1.5997999999996405e+03 -1.9893804486216943e+01 +0.0000000000000000e+00 +1.5996742737391687e+03 -8.5303189016785305e-21 +1.7128565245799743e-04 +3.6976463992320148e-19
1.5998999999996404e+03 -1.9895086285653214e+01 +0.0000000000000000e+00 +1.5997742655237823e+03 -5.9309147600096979e-21 +1.7125924467471950e-04 +2.5708799236317595e-19
1.5999999999996403e+03 -1.9896368084918358e+01 +0.0000000000000000e+00 +1.5998742573083980e+03 -3.3144636849768661e-21 +1.7123283688398117e-04 +1.4367240957109355e-19
1.6000999999996402e+03 -1.9897649884012402e+01 +0.0000000000000000e+00 +1.5999742490930159e+03 -6.8096567998733758e-22 +1.7120642908578237e-04 +2.9517891694650402e-20
1.6001999999996401e+03 -1.9898931682935373e+01 +0.0000000000000000e+00 +1.6000742408776362e+03 +4.5284117413939042e-22 +1.7118008480221597e-04 +9.9121604478713224e-21
1.6002999999996400e+03 -1.9900213481687295e+01 +0.0000000000000000e+00 +1.6001742326622584e+03 +1.0492747422901578e-21 +1.7115376255071919e-04 +2.2967389436803822e-20
1.6003999999996399e+03 -1.9901495280268197e+01 +0.0000000000000000e+00 +1.6002742244468830e+03 +1.6302378992793166e-21 +1.7112744029922243e-04 +3.5683989329299077e-20
1.6004999999996398e+03 -1.9902777078678103e+01 +0.0000000000000000e+00 +1.6003742162315098e+03 +2.1957306482019243e-21 +1.7110111804772565e-04 +4.8061960193104254e-20
1.6005999999996397e+03 -1.9904058876917041e+01 +0.0000000000000000e+00 +1.6004742080161386e+03 +2.7457529921510203e-21 +1.7107479579622889e-04 +6.0101302095922346e-20
1.6006999999996397e+03 -1.9905340674985037e+01 +0.0000000000000000e+00 +1.6005741998007697e+03 +3.2803049342217503e-21 +1.7104847354473211e-04 +7.1802015105502441e-20
1.6007999999996396e+03 -1.9906622472882116e+01 +0.0000000000000000e+00 +1.6006741915854032e+03 +3.7993864775073055e-21 +1.7102215129323535e-04 +8.3164099289550863e-20
1.6008999999996395e+03 -1.9907904270608306e+01 +0.0000000000000000e+00 +1.6007741833700386e+03 +4.3029976250988491e-21 +1.7099582904173859e-04 +9.4187554715729541e-20
1.6009999999996394e+03 -1.9909186068163631e+01 +0.0000000000000000e+00 +1.6008741751546763e+03 +4.7911383800896087e-21 +1.7096950679024186e-04 +1.0487238145174558e-19
1.6010999999996393e+03 -1.9910467865548121e+01 +0.0000000000000000e+00 +1.6009741669393161e+03 +5.2638087455694724e-21 +1.7094318453874513e-04 +1.1521857956523302e-19
1.6011999999996392e+03 -1.9911749662761800e+01 +0.0000000000000000e+00 +1.6010741587239581e+03 +4.4268778377318357e-21 +1.7091692379888186e-04 +1.2866347238300222e-19
1.6012999999996391e+03 -1.9913031459804692e+01 +0.0000000000000000e+00 +1.6011741505086025e+03 +3.1339665297456927e-21 +1.7089068448648763e-04 +1.4534107740457076e-19
