# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
5.7999999999999954e+00 -3.3669485885251134e-03 +0.0000000000000000e+00 +5.7999986972761892e+00 -1.1603256938646806e-03 +0.0000000000000000e+00 +9.9999932682191528e-01
5.8999999999999950e+00 -3.4839789420259594e-03 +0.0000000000000000e+00 +5.8999986287939885e+00 -1.1802809564232712e-03 +0.0000000000000000e+00 +9.9999930346818910e-01
5.9999999999999947e+00 -3.6030046958638010e-03 +0.0000000000000000e+00 +5.9999985579566539e+00 -1.2002337006028559e-03 +0.0000000000000000e+00 +9.9999927971927227e-01
6.0999999999999943e+00 -3.7240255878741180e-03 +0.0000000000000000e+00 +6.0999984847246873e+00 -1.2201836166085597e-03 +0.0000000000000000e+00 +9.9999925557569347e-01
6.1999999999999940e+00 -3.8470413145860506e-03 +0.0000000000000000e+00 +6.1999984090586562e+00 -1.2401303946318859e-03 +0.0000000000000000e+00 +9.9999923103800614e-01
6.2999999999999936e+00 -3.9720515622006757e-03 +0.0000000000000000e+00 +6.2999983309191583e+00 -1.2600740346606137e-03 +0.0000000000000000e+00 +9.9999920610639814e-01
6.3999999999999932e+00 -4.0990560169179959e-03 +0.0000000000000000e+00 +6.3999982502668118e+00 -1.2800145366840155e-03 +0.0000000000000000e+00 +9.9999918078105710e-01
6.4999999999999929e+00 -4.2280543649369437e-03 +0.0000000000000000e+00 +6.4999981670622518e+00 -1.2999519006913665e-03 +0.0000000000000000e+00 +9.9999915506217074e-01
6.5999999999999925e+00 -4.3590462924553769e-03 +0.0000000000000000e+00 +6.5999980812661336e+00 -1.3198861266719459e-03 +0.0000000000000000e+00 +9.9999912894992671e-01
6.6999999999999922e+00 -4.4920314856700828e-03 +0.0000000000000000e+00 +6.6999979928391316e+00 -1.3398172146150359e-03 +0.0000000000000000e+00 +9.9999910244451262e-01
6.7999999999999918e+00 -4.6270096307767768e-03 +0.0000000000000000e+00 +6.7999979017419374e+00 -1.3597451645099223e-03 +0.0000000000000000e+00 +9.9999907554611622e-01
6.8999999999999915e+00 -4.7639804139701031e-03 +0.0000000000000000e+00 +6.8999978079352617e+00 -1.3796699763458941e-03 +0.0000000000000000e+00 +9.9999904825492503e-01
6.9999999999999911e+00 -4.9029435214436347e-03 +0.0000000000000000e+00 +6.9999977113798355e+00 -1.3995916501122444e-03 +0.0000000000000000e+00 +9.9999902057112655e-01
7.0999999999999908e+00 -5.0438986276030552e-03 +0.0000000000000000e+00 +7.0999976120364234e+00 -1.4195098321910361e-03 +0.0000000000000000e+00 +9.9999899249541035e-01
